BKG_HTLSEQ,BKG_CITYCD,GMV,GR,GRASP,ATTRIBUTE_VALUE,GR_Bucket,IHM_Bucket,DND_Bucket,APPONLY_Bucket,INDIAIP_Bucket,SDND_Bucket,New_GR,New_IHM,New_APPONLY,New_INDIAIP,New_SDND
201612021353483,HC200802201457596422,232627.68,30959.37,13.31,"INTL_METADND,INTL_ALL,INTL_GR_high,IH0STAR,INTL_ACCO,INTL_SDND15,IHM6",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high,IHM6, , ,INTL_SDND15
201612141429059,HC200802201457353880,68465.76,8984.32,13.12,"INTL_METADND,INTL_ALL,INTL_DND,INTL_GR_high,INTL_6K_9K,IH3STAR,INTL_SDND5,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_INDIAIP5,INTL_APPONLY5,INTL_BDND,INTL_EBLACK7,IHM6",['INTL_GR_12'],[],['INTL_DND'],['INTL_APPONLY4'],['INTL_INDIAIP4'],['INTL_SDND4'],INTL_GR_high,IHM6,INTL_APPONLY5,INTL_INDIAIP5,INTL_SDND5
317511410277561,911167901049625,13145.76,1667.4,12.68,"INTL_METADND,INTL_ALL,INTL_AU_NZ,INTL_APPFESTALL,INTL_GR_high,IH3STAR,INTL_SDND15,IHM6",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high,IHM6, , ,INTL_SDND15
317511410277881,HC200802201457035260,42471.22,6318.1,14.88,"INTL_METADND,INTL_ALL,INTL_APPFESTALL,INTL_GR_high2,IH3STAR,INTL_SDND15,IHM7",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high2,IHM7, , ,INTL_SDND15
317511410278128,HC200802201457095482,21717.1,3258.04,15.0,"INTL_METADND,INTL_ALL,INTL_CN_HK_MO,INTL_DND,INTL_GR_high2,IH4STAR,INTL_BDND,INTL_EBLACK4,INTL_SDND6,IHM7,INTL_APPONLY6,INTL_INDIAIP6",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDND5'],INTL_GR_high2,IHM7,INTL_APPONLY6,INTL_INDIAIP6,INTL_SDND6
317511410278429,911167901023955,398000.31,68113.39,17.11,"INTL_METADND,INTL_ALL,Intl_rest,INTL_CH_FR,INTL_APPFESTUSEUROPE,INTL_MONSOONUSEUROPE,INTL_GR_high4,IH5STAR,INTL_SDND15,IHM8",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high4,IHM8, , ,INTL_SDND15
317511410278576,HC201003200020131496,30126.17,6135.51,20.37,"INTL_METADND,INTL_ALL,INTL_CH_FR,INTL_DND,INTL_EXPORC,INTL_9KPlus,INTL_ACCOR,INTL_GR_high4,IH4STAR,INTL_HPA0,INTL_TVG0,INTL_TRIP0,INTL_BDND,INTL_EBLACK4,INTL_SDND8,IHM10,INTL_APPONLY8,INTL_INDIAIP8",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDNDND'],INTL_GR_high4,IHM10,INTL_APPONLY8,INTL_INDIAIP8,INTL_SDND8
317511410278592,HC201003200020162436,25487.19,3592.65,14.1,"INTL_METADND,INTL_ALL,Intl_no,INTL_CH_FR,INTL_GR_high2,IH3STAR,INTL_DND,INTL_BDND,INTL_EBLACK4,INTL_SDND6,IHM7,INTL_APPONLY6,INTL_INDIAIP6",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDND5'],INTL_GR_high2,IHM7,INTL_APPONLY6,INTL_INDIAIP6,INTL_SDND6
317511410278884,HC20080220145731476,40140.4,3588.61,8.94,"INTL_METADND,INTL_ALL,Intl_rest,INTL_DND,INTL_EXPORC,INTL_MARSTAR_DND,INTL_9KPlus,INTL_GR_15,INTL_SDND2,IHM3,INTL_APPONLY2,INTL_INDIAIP2",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDND2'],INTL_GR_15,IHM3,INTL_APPONLY2,INTL_INDIAIP2,INTL_SDND2
317511410278952,HC200802201457341405,14293.51,857.47,6.0,"INTL_METADND,INTL_ALL,Intl_rest,INTL_3K_6K,IH2STAR,INTL_HPA1,INTL_TVG1,INTL_TRIP1,INTL_GR_8,INTL_DND,INTL_BDND,INTL_SDND0,INTL_EBLACK2,IHM2,INTL_APPONLY0,INTL_INDIAIP0",['INTL_GR_4'],[],['INTL_DND'],[],[],['INTL_SDND0'],INTL_GR_8,IHM2,INTL_APPONLY0,INTL_INDIAIP0,INTL_SDND0
